source,doi,article,technical.quality,risk.quality,total.quality,tech.tier.zero,tech.tier.zero.criteria.failure,risk.tier.zero,risk.tier.zero.criteria.failure,authors,year,genus,species,organism.group,environment,life.stage,invitro.invivo,sex,max.size.ingest.mm,ingest.size.source,exposure.route,leachate.only,mix,type,negative.control,reference.material,exposure.media,solvent,detergent,media.sal.ppt,media.ph,media.temp,media.temp.min,media.temp.max,exposure.duration.d,treatments,replicates,dosing.frequency,sample.size,dose.particles.mL.nominal,dose.particles.mL.min.nominal,dose.particles.mL.max.nominal,dose.mg.L.nominal,dose.mg.kg.sed.nominal,dose.mg.kg.food.nominal,dose.particles.kg.food.nominal,dose.particles.kg.food.min.nominal,dose.particles.kg.food.max.nominal,dose.percent.sed.nominal,dose.particles.m2.nominal,dose.mg.m2.nominal,dose.percent.food.nominal,dose.particles.kg.sed.nominal,chem.add.nominal,chem.add.dose.mg.L.nominal,chem.exp.typ.nominal,dose.particles.mL.measured,dose.particles.mL.min.measured,dose.particles.mL.max.measured,dose.mg.L.measured,dose.mg.kg.sed.measured,dose.mg.kg.food.measured,dose.particles.kg.food.measured,dose.particles.kg.food.min.measured,dose.particles.kg.food.max.measured,dose.percent.sed.measured,dose.particles.m2.measured,dose.mg.m2.measured,dose.percent.food.measured,dose.particles.kg.sed.measured,chem.add.dose.mg.L.measured,dose.particles.mL.master,dose.particles.mL.master.converted.reported,dose.mg.L.master,dose.mg.L.master.converted.reported,effect,effect.metric,af.time,acute.chronic,af.noec,direction,stat.clarity,lvl1,lvl2,lvl3,effect.score,bio.org,target.cell.tissue,polymer,density.g.cm3,density.mg.um.3,density.reported.estimated,shape,charge,zetapotential.mV,zetapotential.media,functional.group,size.length.mm.nominal,size.length.min.mm.nominal,size.length.max.mm.nominal,size.length.mm.measured,size.length.min.mm.measured,size.length.max.mm.measured,size.width.mm.nominal,size.width.min.mm.nominal,size.width.max.mm.nominal,size.width.mm.measured,size.width.min.mm.measured,size.width.max.mm.measured,size.height.mm.nominal,size.height.min.mm.nominal,size.height.max.mm.nominal,size.height.mm.measured,size.height.min.mm.measured,size.height.max.mm.measured,csf,csf.calculated.estimated,size.length.um.used.for.conversions,size.width.um.used.for.conversions,particle.volume.um3,mass.per.particle.mg,size.category,weather.biofoul,size.valid,size.valid.method,size.valid.media,shape.valid,shape.valid.method,polymer.valid,polymer.valid.method,particle.source,supplier.part,sodium.azide,contaminant.screen,sol.rinse,clean.method,background.plastics,concentration.valid,particle.behavior,uptake.valid,uptake.valid.method,tissue.distribution,fed,curator
Koelmans,10.7717/peerj.4601,1,10,11,21,Pass,NA,Pass,NA,Aljaibachi.Callaghan,2018,Daphnia,magna,Crustacea,Freshwater,Adult,invivo,NA,0.11487,Koelmans 2020,water,N,N,Lab,Y,N,oecd.media,NA,NA,NA,NA,20,NA,NA,21,2,8,2,1,NA,NA,NA,0.00139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,316.0362441,converted,0.00139,reported,Y,LOEC,1,chronic,2,increase,Clear,fitness,mortality,mortality,6,organism,NA,PS,1.05,1.05E-09,reported,sphere,NA,NA,NA,COOH,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4.188790205,4.40E-09,3,N,N,NA,NA,N,NA,N,NA,commercial,"sigma,MKBQ9691",N,N,N,N,N,N,N,Y,microscopy.flourescent.particles,gut,Y,LTH
Koelmans,10.7717/peerj.4601,1,10,11,21,Pass,NA,Pass,NA,Aljaibachi.Callaghan,2018,Daphnia,magna,Crustacea,Freshwater,Adult,invivo,NA,0.11487,Koelmans 2020,water,N,N,Lab,Y,N,oecd.media,NA,NA,NA,NA,20,NA,NA,21,2,8,2,1,NA,NA,NA,0.0111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2523.742669,converted,0.0111,reported,Y,NA,1,chronic,NA,increase,Clear,fitness,mortality,mortality,6,organism,NA,PS,1.05,1.05E-09,reported,sphere,NA,NA,NA,COOH,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4.188790205,4.40E-09,3,N,N,NA,NA,N,NA,N,NA,commercial,"sigma,MKBQ9691",N,N,N,N,N,N,N,Y,microscopy.flourescent.particles,gut,Y,LTH
Koelmans,10.7717/peerj.4601,1,10,11,21,Pass,NA,Pass,NA,Aljaibachi.Callaghan,2018,Daphnia,magna,Crustacea,Freshwater,Adult,invivo,NA,0.11487,Koelmans 2020,water,N,N,Lab,Y,N,oecd.media,NA,NA,NA,NA,20,NA,NA,21,2,8,2,1,NA,NA,NA,0.00139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,316.0362441,converted,0.00139,reported,N,NA,1,chronic,NA,NA,Clear,fitness,reproduction,num.offspring,4,organism,NA,PS,1.05,1.05E-09,reported,sphere,NA,NA,NA,COOH,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4.188790205,4.40E-09,3,N,N,NA,NA,N,NA,N,NA,commercial,"sigma,MKBQ9691",N,N,N,N,N,N,N,Y,microscopy.flourescent.particles,gut,Y,LTH
Koelmans,10.7717/peerj.4601,1,10,11,21,Pass,NA,Pass,NA,Aljaibachi.Callaghan,2018,Daphnia,magna,Crustacea,Freshwater,Adult,invivo,NA,0.11487,Koelmans 2020,water,N,N,Lab,Y,N,oecd.media,NA,NA,NA,NA,20,NA,NA,21,2,8,2,1,NA,NA,NA,0.0111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2523.742669,converted,0.0111,reported,N,HONEC,1,chronic,1,NA,Clear,fitness,reproduction,num.offspring,4,organism,NA,PS,1.05,1.05E-09,reported,sphere,NA,NA,NA,COOH,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4.188790205,4.40E-09,3,N,N,NA,NA,N,NA,N,NA,commercial,"sigma,MKBQ9691",N,N,N,N,N,N,N,Y,microscopy.flourescent.particles,gut,Y,LTH
Koelmans,10.7717/peerj.4601,1,10,11,21,Pass,NA,Pass,NA,Aljaibachi.Callaghan,2018,Daphnia,magna,Crustacea,Freshwater,Early,invivo,NA,0.11487,Koelmans 2020,water,N,N,Lab,Y,N,oecd.media,NA,NA,NA,NA,20,NA,NA,21,2,8,2,1,NA,NA,NA,0.00139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,316.0362441,converted,0.00139,reported,Y,LOEC,1,chronic,2,increase,Clear,fitness,mortality,mortality,6,organism,NA,PS,1.05,1.05E-09,reported,sphere,NA,NA,NA,COOH,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4.188790205,4.40E-09,3,N,N,NA,NA,N,NA,N,NA,commercial,"sigma,MKBQ9691",N,N,N,N,N,N,N,Y,microscopy.flourescent.particles,gut,Y,LTH
Koelmans,10.7717/peerj.4601,1,10,11,21,Pass,NA,Pass,NA,Aljaibachi.Callaghan,2018,Daphnia,magna,Crustacea,Freshwater,Early,invivo,NA,0.11487,Koelmans 2020,water,N,N,Lab,Y,N,oecd.media,NA,NA,NA,NA,20,NA,NA,21,2,8,2,1,NA,NA,NA,0.0111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2523.742669,converted,0.0111,reported,N,NA,1,chronic,NA,NA,Clear,fitness,mortality,mortality,6,organism,NA,PS,1.05,1.05E-09,reported,sphere,NA,NA,NA,COOH,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4.188790205,4.40E-09,3,N,N,NA,NA,N,NA,N,NA,commercial,"sigma,MKBQ9691",N,N,N,N,N,N,N,Y,microscopy.flourescent.particles,gut,Y,LTH
Koelmans,10.7717/peerj.4601,1,10,11,21,Pass,NA,Pass,NA,Aljaibachi.Callaghan,2018,Daphnia,magna,Crustacea,Freshwater,Early,invivo,NA,0.11487,Koelmans 2020,water,N,N,Lab,Y,N,oecd.media,NA,NA,NA,NA,20,NA,NA,21,2,8,2,1,NA,NA,NA,0.00139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,316.0362441,converted,0.00139,reported,N,NA,1,chronic,NA,NA,Clear,fitness,reproduction,num.offspring,4,organism,NA,PS,1.05,1.05E-09,reported,sphere,NA,NA,NA,COOH,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4.188790205,4.40E-09,3,N,N,NA,NA,N,NA,N,NA,commercial,"sigma,MKBQ9691",N,N,N,N,N,N,N,Y,microscopy.flourescent.particles,gut,Y,LTH
Koelmans,10.7717/peerj.4601,1,10,11,21,Pass,NA,Pass,NA,Aljaibachi.Callaghan,2018,Daphnia,magna,Crustacea,Freshwater,Early,invivo,NA,0.11487,Koelmans 2020,water,N,N,Lab,Y,N,oecd.media,NA,NA,NA,NA,20,NA,NA,21,2,8,2,1,NA,NA,NA,0.0111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2523.742669,converted,0.0111,reported,N,HONEC,1,chronic,1,NA,Clear,fitness,reproduction,num.offspring,4,organism,NA,PS,1.05,1.05E-09,reported,sphere,NA,NA,NA,COOH,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4.188790205,4.40E-09,3,N,N,NA,NA,N,NA,N,NA,commercial,"sigma,MKBQ9691",N,N,N,N,N,N,N,Y,microscopy.flourescent.particles,gut,Y,LTH
Koelmans,10.7717/peerj.4601,1,10,11,21,Pass,NA,Pass,NA,Aljaibachi.Callaghan,2018,Daphnia,magna,Crustacea,Freshwater,Early,invivo,NA,0.11487,Koelmans 2020,water,N,N,Lab,Y,N,oecd.media,NA,NA,NA,NA,20,NA,NA,21,2,8,2,1,NA,NA,NA,0.00139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,316.0362441,converted,0.00139,reported,Y,LOEC,1,chronic,2,decrease,Clear,fitness,growth,length,3,organism,NA,PS,1.05,1.05E-09,reported,sphere,NA,NA,NA,COOH,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4.188790205,4.40E-09,3,N,N,NA,NA,N,NA,N,NA,commercial,"sigma,MKBQ9691",N,N,N,N,N,N,N,Y,microscopy.flourescent.particles,gut,Y,LTH
Koelmans,10.7717/peerj.4601,1,10,11,21,Pass,NA,Pass,NA,Aljaibachi.Callaghan,2018,Daphnia,magna,Crustacea,Freshwater,Early,invivo,NA,0.11487,Koelmans 2020,water,N,N,Lab,Y,N,oecd.media,NA,NA,NA,NA,20,NA,NA,21,2,8,2,1,NA,NA,NA,0.0111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2523.742669,converted,0.0111,reported,N,NA,1,chronic,NA,NA,Clear,fitness,growth,length,3,organism,NA,PS,1.05,1.05E-09,reported,sphere,NA,NA,NA,COOH,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4.188790205,4.40E-09,3,N,N,NA,NA,N,NA,N,NA,commercial,"sigma,MKBQ9691",N,N,N,N,N,N,N,Y,microscopy.flourescent.particles,gut,Y,LTH
