"","rowid","source","doi","article","tech.a1","tech.a2","tech.a3","tech.a4","tech.a5","tech.a6","tech.1","tech.2","tech.3","tech.4","tech.5","tech.6","tech.7","tech.8","tech.9","tech.10","tech.11","tech.12","risk.b1","risk.13","risk.14","risk.15","risk.16","risk.17","risk.18","risk.19","risk.20","technical.quality","risk.quality","total.quality","score.source","tech.tier.zero","tech.tier.zero.criteria.failure","risk.tier.zero","risk.tier.zero.criteria.failure","authors","year","genus","species","organism.group","environment","life.stage","invitro.invivo","sex","body.length.cm","body.size.source","max.size.ingest.mm","ingest.size.source","exposure.route","leachate.only","mix","type","negative.control","reference.material","exposure.media","solvent","detergent","media.sal.ppt","media.ph","media.temp","media.temp.min","media.temp.max","exposure.duration.d","treatments","replicates","dosing.frequency","sample.size","dose.particles.mL.nominal","dose.particles.mL.min.nominal","dose.particles.mL.max.nominal","dose.mg.L.nominal","dose.mg.kg.sed.nominal","dose.mg.kg.food.nominal","dose.particles.kg.food.nominal","dose.percent.sed.nominal","dose.particles.m2.nominal","dose.mg.m2.nominal","dose.percent.food.nominal","dose.particles.kg.sed.nominal","chem.add.nominal","chem.add.dose.mg.L.nominal","chem.exp.typ.nominal","dose.particles.mL.measured","dose.mg.L.measured","dose.mg.kg.sed.measured","dose.mg.kg.food.measured","dose.particles.kg.food.measured","dose.particles.kg.food.min.measured","dose.particles.kg.food.max.measured","dose.percent.sed.measured","dose.particles.m2.measured","chem.add.dose.mg.L.measured","dose.particles.mL.master","dose.particles.mL.master.converted.reported","dose.mg.L.master","dose.mg.L.master.converted.reported","effect","effect.metric","af.time","acute.chronic","af.noec","direction","stat.clarity","lvl1","lvl2","lvl3","effect.score","bio.org","target.cell.tissue","polymer","density.g.cm3","density.mg.um.3","density.reported.estimated","shape","charge","zetapotential.mV","zetapotential.media","functional.group","size.length.mm.nominal","size.length.min.mm.nominal","size.length.max.mm.nominal","size.length.mm.measured","size.length.min.mm.measured","size.length.max.mm.measured","size.width.mm.nominal","size.width.min.mm.nominal","size.width.max.mm.nominal","size.width.mm.measured","size.width.min.mm.measured","size.width.max.mm.measured","size.height.mm.nominal","size.height.min.mm.nominal","size.height.max.mm.nominal","size.height.mm.measured","size.height.min.mm.measured","size.height.max.mm.measured","csf","csf.calculated.estimated","size.length.um.used.for.conversions","size.width.um.used.for.conversions","particle.surface.area.um2","particle.volume.um3","mass.per.particle.mg","size.category","weather.biofoul","size.valid","size.valid.method","size.valid.media","shape.valid","shape.valid.method","polymer.valid","polymer.valid.method","particle.source","supplier.part","sodium.azide","contaminant.screen","sol.rinse","clean.method","background.plastics","concentration.valid","particle.behavior","uptake.valid","uptake.valid.method","tissue.distribution","fed","curator","effect_f","size_f","shape_f","poly_f","org_f","lvl1_f","lvl2_f","lvl3_f","bio_f","vivo_f","life_f","env_f","species_f","af.time_noNA","acute.chronic_f","tier_zero_tech_f","tier_zero_risk_f","weather.biofoul_f","treatment_range","max.size.ingest.um","exp_type_f","dose.surface.area.um2.mL.master","particle.surface.area.um2.mg","polydispersity","size.length.min.um.used.for.conversions","size.width.min.um.used.for.conversions","size.height.min.um.used.for.conversions","size.length.max.um.used.for.conversions","size.width.max.um.used.for.conversions","size.height.max.um.used.for.conversions","particle.surface.area.um2.min","particle.surface.area.um2.max","particle.volume.um3.min","particle.volume.um3.max","mass.per.particle.mg.min","mass.per.particle.mg.max","dose.um3.mL.master","dose.um2.mL.master","dose.um2.ug.mL.master","environment.noNA","Species","Group"
"1",2895,"Koelmans","10.1016/j.scitotenv.2019.04.017",89,2,2,2,2,2,2,1,2,1,2,1,0,2,1,1,2,1,2,2,2,2,2,2,2,1,1,2,16,14,30,"de Ruijter","Pass",NA,"Pass",NA,"Silva",2019,"Chironomus","riparius","Insect","Freshwater","Early","invivo",NA,5,"10.1007/BF00016865",3.41120548281277,NA,"sediment","N","N","Lab","Y","N","astm hard water",NA,NA,NA,NA,20,NA,NA,10,5,13,1,5,NA,NA,NA,NA,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Particle Only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","LOEC",10,"acute",2,"decrease","Clear","fitness","growth","length",3,"organism",NA,"PE",0.935,9.35e-10,"estimated","fragment",NA,NA,NA,NA,NA,NA,NA,NA,0.063,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,"estimated",156.5,NA,176590.569587136,797258.571993491,0.000300243,4,"N","Y","microscopy",NA,"N",NA,"N",NA,"commercial","sigma,9002-88-4,goodfellow,708-316-83","N","N","No","Not Cleaned","Y","Y","Not Evaluated","Y","nitric acid digestion microscopy","whole body","Y","LTH","Yes","100µm < 1mm","Fragment","Polyethylene","Insect","Fitness","Growth","Length","Organism","In Vivo","Early","Freshwater","Chironomus riparius","10","Acute","Red Criteria Passed","Red Criteria Passed","No","5",3411.20548281277,"Particle Only",NA,588158823.310237,"monodisperse",63,48.51,32.5017,250,192.5,128.975,28616.7245022953,450628.69271692,77625.0192736183,4850651.78206612,0.0725793930208331,4.53535941623182,NA,NA,NA,"Freshwater","Chironomus riparius","Insect"
"2",1010,"Koelmans,Rochman","10.1021/es501385y",37,2,2,2,2,2,2,1,1,1,2,1,0,0,0,1,2,1,2,0,2,2,0,0,0,1,1,2,12,8,20,"de Ruijter","Pass",NA,"Fail","B1","Hamer",2014,"Idotea","emarginata","Crustacea","Marine","Adult","invivo",NA,3,"WoRMS",2.11679579457252,NA,"food","N","N","Lab","Y","N","natural seawater",NA,NA,NA,NA,13,NA,NA,41,2,1,3,24,NA,NA,NA,NA,NA,NA,0.00035,NA,NA,NA,NA,NA,NA,NA,"Particle Only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","HONEC",1,"chronic",1,NA,"Clear","fitness","body.condition","growth",3,"organism",NA,"PS",1.07,1.07e-09,"estimated","fragment",NA,NA,NA,NA,NA,0.001,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,"estimated",50.5,NA,18387.4531776212,26787.3841680918,1.15e-05,3,"N","N",NA,NA,"N",NA,"N",NA,"modified","magic.pyramid","unknown","N","No","Not Cleaned","N","Y","particles mixed into food confirmed by microscopy","Y","microscopy flourescent particles","gut","Y","LTH,EM","No","1µm < 100µm","Fragment","Polystyrene","Crustacea","Fitness","Body Condition","Growth","Organism","In Vivo","Adult","Marine","Idotea emarginata","1","Chronic","Red Criteria Passed","Red Criteria Failed","No","1-2",2116.79579457252,"Particle Only",NA,1598908971.96706,"polydisperse",1,0.77,0.5159,100,77,51.59,7.21005908347071,72100.5908347071,0.310441714052231,310441.714052231,3.32172634035888e-07,0.332172634035888,NA,NA,NA,"Marine","Idotea emarginata","Crustacea"
"3",3973,"Jacob","10.1016/j.jhazmat.2018.07.101",120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Scoring Not Applicable",NA,"Scoring Not Applicable",NA,"Beiras",2018,"Tigriopus","fulvus","Crustacea","Marine","Early","invivo",NA,0.12,"WoRMS",0.104679876581976,NA,"water","N","N","Lab","Y","N","filtered seawater",NA,NA,NA,NA,20,NA,NA,2,4,3,1,17.5,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,"bpa",0.02,"sorbed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9844.635655,"converted",0.1,"reported","N",NA,10,"acute",NA,NA,"Clear","fitness","mortality","mortality",6,"organism",NA,"PE",0.97,9.7e-10,"reported","fragment",NA,NA,NA,NA,NA,0.004,0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,"estimated",5,NA,180.251477086768,25.9995711623029,1.02e-08,3,"N","N",NA,NA,"Y","light.microscopy","N",NA,"commercial","micropowders,MPP-635XF","N","N","No","Not Cleaned","N","N","Not Evaluated","Y","microscopy flourescent particles","gut","N","LTH","No","1µm < 100µm","Fragment","Polyethylene","Crustacea","Fitness","Mortality","Mortality","Organism","In Vivo","Early","Marine","Tigriopus fulvus","10","Acute","Scoring Not Applicable","Scoring Not Applicable","No","2-5",104.679876581976,"Chemical Transfer",1774510.11819481,17671713439.8792,"polydisperse",4,3.08,2.0636,6,4.62,3.0954,115.360945335531,259.562127004946,19.8682696993428,67.055410235282,1.92722216083625e-05,6.50437479282235e-05,255956.305279117,1774510.11819481,173971580215177408,"Marine","Tigriopus fulvus","Crustacea"
"4",2049,"Koelmans","10.1016/j.chemosphere.2018.05.170",65,2,2,2,2,2,2,2,2,1,2,1,0,0,0,0,0,1,2,2,2,2,0,0,2,1,0,2,11,9,20,"de Ruijter","Pass",NA,"Pass",NA,"Mao",2018,"Chlorella","pyrenoidosa","Algae","Freshwater","Not Reported","invivo",NA,NA,NA,NA,NA,"water","N","N","Lab","Y","N","BG11 medium",NA,NA,NA,NA,25,NA,NA,30,3,3,0,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Particle Only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17849152496,"converted",10,"reported","N",NA,1,"chronic",NA,NA,"Unclear","metabolism","photosynthesis","rc.abs",2,"cell",NA,"PS",1.07,1.07e-09,"estimated","sphere",NA,NA,NA,NA,NA,NA,NA,1e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,0.031415927,0.000523599,5.6e-13,2,"N","Y","dynamic.light.scatter",NA,"Y","SEM","N",NA,"commercial","sigma","unknown","N","No","Not Cleaned","N","N","Not Evaluated","N",NA,NA,NA,"LTH,EM","No","100nm < 1µm","Sphere","Polystyrene","Algae","Metabolism","Photosynthesis","RC/ABS","Cell","In Vivo","Not Reported","Freshwater","Chlorella pyrenoidosa","1","Chronic","Red Criteria Passed","Red Criteria Passed","No","3",NA,"Particle Only",560747671.826204,56099869642.8571,"monodisperse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9345798.3977531,560747671.826204,1.00133512826108e+24,"Freshwater","Chlorella pyrenoidosa","Algae"
"5",2696,"Koelmans","10.1016/j.marpolbul.2019.110627",81,2,2,2,2,2,2,1,1,1,1,1,0,2,0,1,0,2,2,2,2,2,0,0,2,0,1,1,12,8,20,"de Ruijter","Pass",NA,"Pass",NA,"Revel",2020,"Crassostrea","gigas","Mollusca","Marine","Adult","invivo",NA,15,"sealifebase.org",9.51890176843551,NA,"water","N","Y","Lab","Y","N","artificial seawater",NA,NA,30,NA,15,NA,NA,10,3,3,1,10,112,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Particle Only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,"reported",0.1,"reported","N","HONEC",10,"acute",1,NA,"Clear","circulatory.respiratory","gill.histo","gill.histo",1,"tissue","gills","PE",0.935,9.35e-10,"estimated","fragment",NA,NA,NA,NA,NA,NA,NA,0.287,4e-04,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,"estimated",287,NA,593885.356646399,4917018.7225475,0.001851723,4,"N","Y","coulter.counter",NA,"N",NA,"N",NA,"modified",NA,"unknown","N","No","Not Cleaned","Y","N","aeration","Y","kohdigestion FTIR","gills,gut,other tissues","Y","LTH","No","100µm < 1mm","Fragment","Polyethylene","Mollusca","Circulatory, Respiratory","Gill Histological Abnormalities","Gill Histology","Tissue","In Vivo","Adult","Marine","Crassostrea gigas","10","Acute","Red Criteria Passed","Red Criteria Passed","No","3",9518.90176843551,"Particle Only",66515159.9443967,320720408.315066,"monodisperse",0.4,0.308,0.20636,950,731.5,490.105,1.15360945335531,6507078.32283232,0.0198682696993428,266164964.585532,1.85768321688855e-08,248.864241887472,550706096.92532,66515159.9443967,35920685731287.4,"Marine","Crassostrea gigas","Mollusca"
"6",5252,"Workshop","doi.org/10.1016/j.envpol.2019.113506 0269-7491",156,2,2,2,2,2,2,2,1,1,2,1,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,2,7,7,14,"AF,VDR","Pass",NA,"Fail","B1","Liu",2020,"Daphnia","pulex","Crustacea","Freshwater","Early","invivo",NA,0.3,"Koelmans 2020",0.07087,"Koelmans 2020","water","N","N","Lab","Y","N","culture water",NA,NA,NA,NA,20,NA,NA,21,1,10,2,1,NA,NA,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Particle Only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4949298.516,"converted",0.001,"reported","N","HONEC",1,"chronic",1,NA,"Clear","fitness","reproduction","clutch.num",4,"organism",NA,"PS",1.07,1.07e-09,"estimated","sphere",NA,NA,NA,NA,7.5e-05,NA,NA,7.118e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07118,NA,0.015917169,0.000188831,2.02e-13,1,"N","Y","dynamic.light.scatter",NA,"Y","TEM","N",NA,"commercial","baseline.cromtech","N","N","No","Not Cleaned","N","N","Not Evaluated","N",NA,NA,"Y","SK,LTH","No","1nm < 100nm","Sphere","Polystyrene","Crustacea","Fitness","Reproduction","Number of Clutches","Organism","In Vivo","Early","Freshwater","Daphnia pulex","1","Chronic","Red Criteria Passed","Red Criteria Failed","No","1",70.87,"Particle Only",78778.8209106212,78797866336.6337,"monodisperse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,934.580988074796,78778.8209106212,3.89994162923867e+20,"Freshwater","Daphnia pulex","Crustacea"
"7",5456,"Workshop","10.1016/j.envpol.2019.113024",159,2,2,2,2,2,2,1,2,1,1,2,0,1,0,2,1,2,2,2,2,2,0,0,2,0,0,1,15,7,22,"EM,LH","Pass",NA,"Pass",NA,"Wang",2019,"Oryzias","melastigma","Fish","Marine","Adult","invivo","M",4,"fishbase.org",2.76939075388703,NA,"water","N","N","Lab","Y","N","seawater",NA,NA,NA,NA,27,NA,NA,60,3,3,0,20,NA,NA,NA,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Particle Only",0.5787,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5787,"reported",0.002,"reported","Y","LOEC",1,"chronic",2,"increase","Clear","metabolism","oxidative.stress","mda.con",1,"subcell","gill","PS",1.07,1.07e-09,"estimated","sphere",NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,314.1592654,523.5987756,5.6e-07,3,"N","N",NA,NA,"Y","microscopy","N",NA,"commercial","baseline.cromtech","unknown","N","No","Not Cleaned","N","Y","sonicated","Y","dissection h2o2 digestion microscopy","liver,gills,gut","Y","SK,LTH","Yes","1µm < 100µm","Sphere","Polystyrene","Fish","Metabolism","Oxidative Stress","Malondialdehyde Concentration","Subcell","In Vivo","Adult","Marine","Oryzias melastigma","1","Chronic","Red Criteria Passed","Red Criteria Passed","No","3",2769.39075388703,"Particle Only",181.80396688698,560998688.214286,"monodisperse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303.00661143972,181.80396688698,324649940869.607,"Marine","Oryzias melastigma","Fish"
"8",1608,"Rochman","10.1021/acs.est.7b03732",51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Scoring Not Applicable",NA,"Scoring Not Applicable",NA,"Kim",2017,"Daphnia","magna","Crustacea","Freshwater","Early","invivo",NA,0.5,"Koelmans 2020",0.11487,"Koelmans 2020","water","N","N","Lab","Y","N","moderately hard water",NA,NA,NA,NA,21,NA,NA,2,5,8,0,5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,"nickel",3,"co.exp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1491304887,"converted",5,"reported","Y","LOEC",10,"acute",2,"increase","Clear","fitness","mortality","immobilization",6,"organism",NA,"PS",1.05,1.05e-09,"reported","sphere","negative",-28,"moderately.hard.water","COOH",2e-04,NA,NA,0.0001827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1827,NA,0.104864132,0.003193113,3.35e-12,2,"N","Y","method.not.described","moderately.hard.water","Y","SEM","N",NA,"commercial","bangs.laboratories","unknown","N","No","Not Cleaned","N","N","stock solution on rolling mixer","N",NA,NA,"N","LTH","Yes","100nm < 1µm","Sphere","Polystyrene","Crustacea","Fitness","Mortality","Immobilization","Organism","In Vivo","Early","Freshwater","Daphnia magna","10","Acute","Scoring Not Applicable","Scoring Not Applicable","No","5",114.87,"Chemical Co-Exposure",156384392.522613,31302725970.1493,"monodisperse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4761905.02164323,156384392.522613,4.66819082157054e+22,"Freshwater","Daphnia magna","Crustacea"
"9",4197,"Jacob","10.1016/j.aquatox.2016.09.015",128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Scoring Not Applicable",NA,"Scoring Not Applicable",NA,"Fonte",2016,"Pomatoschistus","microps","Fish","Marine","Juvenile","invivo",NA,9,"fishbase.org",5.90687700693965,NA,"water","N","N","Lab","Y","N","artificial seawater",NA,NA,18,NA,25,NA,NA,4,1,12,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cefalexin",5,"co.exp",NA,0.184,NA,NA,NA,NA,NA,NA,NA,"4.422",10846.11464,"converted",0.184,"reported","N","HONEC",10,"acute",1,NA,"Clear","fitness","mortality","mortality",6,"organism",NA,"PE",1.2,1.2e-09,"reported","sphere",NA,NA,NA,NA,NA,0.001,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,28.27433388,14.13716694,1.7e-08,3,"N","N",NA,NA,"N",NA,"N",NA,"commercial","cospheric","unknown","N","No","Not Cleaned","N","Y","Not Evaluated","N",NA,NA,"N","LTH","No","1µm < 100µm","Sphere","Polyethylene","Fish","Fitness","Mortality","Mortality","Organism","In Vivo","Juvenile","Marine","Pomatoschistus microps","10","Acute","Scoring Not Applicable","Scoring Not Applicable","No","1",5906.87700693965,"Chemical Co-Exposure",306666.666632116,1663196110.58824,"polydisperse",1,1,1,5,5,5,12.5663706143592,314.159265358979,0.523598775598299,65.4498469497874,6.28318530717959e-07,7.85398163397448e-05,153333.333316058,306666.666632116,18039215684242120,"Marine","Pomatoschistus microps","Fish"
"10",476,"Koelmans,Jacob","10.1016/j.marpolbul.2018.02.039",17,2,2,2,2,2,2,1,2,1,2,2,1,0,0,0,1,1,2,0,2,0,0,0,0,0,1,0,13,3,16,"de Ruijter","Pass",NA,"Fail","B1","Choi",2018,"Cyprinodon","variegatus","Fish","Marine","Early","invivo",NA,3,"fishbase.org",2.11679579457252,NA,"water","N","N","Lab","Y","N","artificial seawater",NA,"tween80",26,7.6,26,NA,NA,4,2,3,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Particle Only",1694,250,NA,NA,NA,NA,NA,NA,NA,NA,1694,"reported",250,"reported","N",NA,10,"acute",NA,NA,"Clear","metabolism","oxidative.stress","sod3.mrnaexpression",1,"subcell","whole.body","PE",1.025,1.03e-09,"reported","fragment",NA,NA,NA,NA,NA,NA,NA,0.055,0.006,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,"estimated",55,NA,21810.4287274989,34605.4292170252,1.43e-05,3,"N","Y","microscopy",NA,"Y","microscopy","N",NA,"commercial","cospheric","unknown","N","distilled water","rinse","N","Y","detergent","Y","histology","gut","N","LTH,EM","No","1µm < 100µm","Fragment","Polyethylene","Fish","Metabolism","Oxidative Stress","sod3 mRNA expression","Subcell","In Vivo","Early","Marine","Cyprinodon variegatus","10","Acute","Red Criteria Passed","Red Criteria Failed","No","2",2116.79579457252,"Particle Only",36946866.2643832,1525204806.1188,"monodisperse",6,4.62,3.0954,350,269.5,180.565,259.562127004946,883232.237725163,67.055410235282,13310188.4899894,6.8731795491164e-05,13.6429432022392,58621597.0936406,36946866.2643832,2583696941565256,"Marine","Cyprinodon variegatus","Fish"
