source,doi,article,authors,year,genus,species,organism.group,life.stage,invitro.invivo,exposure.route,leachate.only,fed,polymer,mix,functional.group,shape,size.category,size.mm,size.min.mm,size.max.mm,type,environment,negative.control,positive.control,dose.particles.mL,dose.particles.mL.min,dose.particles.mL.max,dose.mg.L,dose.mg.kg.sed,dose.mg.kg.food,dose.particles.kg.food,dose.particles.kg.food.min,dose.particles.kg.food.max,dose.percent.sed,dose.particles.m2,dose.mg.m2,dose.percent.food,dose.particles.kg.sed,chem.add,chem.add.dose.mg.L,chem.exp.typ,exposure.duration.d,effect,lvl1,lvl2,lvl3,target.cell.tissue,bio.org,stat.clarity,treatments,replicates,size.valid,shape.valid,polymer.valid,source_1,contaminant.screen,sol.rinse,background.plastics,con.valid,homo.mix,exposure.valid,weather.biofoul,log_dose.mg.L,log_dose.particles.mL,effect_f,Conc,Species,Group
Jacob,0.1021/es404295e,1,Aljaibachi.Callaghan,2008,Abra,aibuhitensis,Algae,Adult,invitro,food,N,N,BIO,n,COOH,cube,1,0.00002,0,0.004,Field,Freshwater,N,N,0.009,21000,34000,0.000008,1,0.0009,0.000012,25000000,35000000,0.005,500,0.5,0.01,94,bap,0.0002,co.exp,0.02,N,alimentary.excretory,abundance,11bhsd.mrnaexpression,blood,cell,Clear,1,1,N,N,N,commercial,N,N,N,N,N,N,N,-5.09691001300806,-2.04575749056068,Y,0.000008,Abra nitida,Algae
Koelmans,10.1002/etc.1984,2,Asmonaite,2010,Acanthochromis,alkaliphila,Annelida,Early,invivo,maternal.transfer,Y,Y,EVA,N,NH2,fiber,2,0.000024,0.00031,0.005,Lab,Marine,Y,Y,0.01,43000,68000,0.0001,10,0.009,0.00002,25000000,35000000,0.02,2600,1,0.1,940,bpa,0.001,sorbed,0.03,Y,behavioral.sense.neuro,actinobacteria,1433e.mrnaexpression,brain,organism,Unclear,2,2,Y,Y,Y,lab,Y,Y,Y,Y,Y,Y,Y,-4,-2,N,0.0001,Acanthochromis polyacanthus,Annelida
"Koelmans,Jacob",10.1002/etc.3093,3,Au,2011,Acartia,amphitrite,Bacterium,Juveniles,invitro,sediment,N,N,LTX,Y,SO3,fragment,3,0.0000255,0.0004,0.006,Mesocosm,Terrestrial,N,N,0.0203,85000,130000,0.00025,25,0.099,0.00012,25000000,35000000,0.05,2610,5,0.3,2350,cefalexin,0.002,co.exp,0.04,N,circulatory.respiratory,aggressivity,5ht1.mrnaexpression,coelomocytes,population,Clear,3,3,N,N,N,N,N,N,N,N,N,N,N,-3.60205999132796,-1.69250396208679,Y,0.00025,Acartia clausi,Bacterium
"Koelmans,Rochman",10.1002/etc.3361,4,Avio,2012,Acipenser,andrei,Cnidaria,Adult,invivo,water,Y,Y,PA,n,COOH,sphere,4,0.00003,0.001,0.0085,Field,Freshwater,Y,Y,0.1,170000,270000,0.00055,50,100,0.00035,25000000,35000000,0.074,5200,10,0.4,110000,chromium,0.01,sorbed,0.083,Y,community,ammonia.excretion,aadd45a.mrnaexpression,digestive.tract,subcell,Unclear,4,4,Y,Y,Y,commercial,Y,Y,Y,Y,Y,Y,Y,-3.25963731050576,-1,N,0.00055,Acipenser transmontanus,Cnidaria
"Koelmans,Rochman,Jacob",10.1002/etc.3501,5,Barboza,2013,Acropora,antipodarum,Crustacea,Early,invitro,food,N,N,PC,N,NH2,cube,5,0.00004,0.0014,0.01,Lab,Marine,N,N,0.25,340000,540000,0.0008,62.5,300,3333.3333333333,25000000,35000000,0.2,5220,0.5,4,2400000,copper,0.016,co.exp,0.125,N,fitness,bacteriodetes,abcb1.mrnaexpression,embryo,tissue,Clear,5,5,N,N,N,lab,N,N,N,N,N,N,N,-3.09691001300806,-0.602059991327962,Y,0.0008,Acropora muricata,Crustacea
Rochman,10.1002/etc.3881,6,Batel,2014,Amphibalanus,aquaticus,Echinoderm,Juveniles,invivo,maternal.transfer,Y,Y,PE,Y,SO3,fiber,1,0.000041,0.002,0.012,Mesocosm,Terrestrial,Y,Y,0.27,680000,1100000,0.001,125,500,40000,25000000,35000000,0.5,156700,1,10,9300000,ee2,0.02,sorbed,0.16,Y,immune,blood,abcc.mrnaexpression,gall.bladder,cell,Unclear,6,6,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,-3,-0.568636235841013,N,0.001,Amphibalanus amphitrite,Echinoderm
"Rochman,Jacob",10.1002/etc.4257,7,Beiras,2015,Arenicola,attenuata,Fish,Adult,invitro,sediment,N,N,PET,n,COOH,fragment,2,0.000042,0.0025,0.013,Field,Freshwater,N,N,0.35,39000000,25000000000,0.00139,250,496000,100000000,25000000,35000000,0.74,261200,5,30,24000000,mercury,0.020225,co.exp,0.25,N,metabolism,body.condition,abcc5.mrnaexpression,gills,organism,Clear,7,7,N,N,N,commercial,N,N,N,N,N,N,N,-2.85698519974591,-0.455931955649724,Y,0.00139,Arenicola marina,Fish
Jacob,10.1007/s00128-017-2186-3,8,Bejgarn,2016,Artemia,aurata,Insect,Early,invivo,water,Y,Y,PI,N,NH2,sphere,3,0.00005,0.004,0.015,Lab,Marine,Y,Y,0.5,78000000,50000000000,0.0025,500,1084000,1000000000,25000000,35000000,1,365700,10,70,60000000,nickel,0.04,sorbed,0.333,Y,microbiome,boldness,abcd.mrnaexpression,gonad,population,Unclear,10,8,Y,Y,Y,lab,Y,Y,Y,Y,Y,Y,Y,-2.60205999132796,-0.301029995663981,N,0.0025,Artemia franciscana ,Insect
Koelmans,10.1007/s00227-016-2973-0,9,Bergami,2017,Asellus,auratus,Mollusca,Juveniles,invitro,food,N,N,PLA,Y,SO3,cube,4,0.000051,0.00464,0.0176,Mesocosm,Terrestrial,N,N,0.54,1600000000,100000000000,0.00396,1000,0.0009,0.000012,25000000,35000000,2,522400,0.5,0.01,93000000,nonylphenol,0.08,co.exp,0.5,N,stress,brain.histo,abnormality.occurrence,granulocyte,subcell,Clear,1,9,N,N,N,N,N,N,N,N,N,N,N,-2.40230481407449,-0.267606240177031,Y,0.00396,Artemia parthenogenetica,Mollusca
"Koelmans,Jacob",10.1007/s11356-016-7584-2,10,Besseling,2018,Atactodea,azteca,Nematoda,Adult,invivo,maternal.transfer,Y,Y,PMMA,n,COOH,fiber,5,0.000052,0.005,0.02,Field,Freshwater,Y,Y,0.68,3100000000,200000000000,0.005,1250,0.009,0.00002,25000000,35000000,3.8,1044800,1,0.1,232500000,paraquat,0.1,sorbed,1,Y,alimentary.excretory,burrowing,abs.rc,haemocytes,tissue,Unclear,2,10,Y,Y,Y,commercial,Y,Y,Y,Y,Y,Y,Y,-2.30102999566398,-0.167491087293764,N,0.005,Asellus aquaticus,Nematoda
"Koelmans,Rochman",10.1007/s11356-018-2926-x,11,Bhattacharya,2019,Barbodes,calcarifer,Plant,Early,invitro,sediment,N,N,PP,N,NH2,fragment,1,0.000053,0.006,0.025,Lab,Marine,N,N,0.73,6200000000,400000000000,0.0055,2500,0.099,0.00012,25000000,35000000,5,26800000,5,0.3,94,pbde47,0.126,co.exp,2,N,behavioral.sense.neuro,carb.metabolism,absorption.efficiency,haemolymph,cell,Clear,3,11,N,N,N,lab,N,N,N,N,N,N,N,-2.25963731050576,-0.136677139879544,Y,0.0055,Atactodea striata,Plant
"Koelmans,Rochman,Jacob",10.1007/s11356-018-3497-6,12,Blarer.BurkhardtHom,2020,Bathygobius,carassius,Rotifera,Juveniles,invivo,water,Y,Y,PS,Y,SO3,sphere,2,0.000055,0.00656,0.032,Mesocosm,Terrestrial,Y,Y,0.8,12000000000,800000000000,0.008,5000,100,0.00035,25000000,35000000,7,500,10,0.4,940,pcb,0.16,sorbed,3,Y,circulatory.respiratory,chemokines.cytokines,abundance,head,organism,Unclear,4,12,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,-2.09691001300806,-0.0969100130080564,N,0.008,Barbodes gonionotus,Rotifera
Rochman,10.1007/s13762-016-1171-4,13,Bour,2008,Brachionus,carpio,Algae,Adult,invitro,food,N,N,PUR,n,COOH,cube,3,0.00007,0.008,0.038,Field,Freshwater,N,N,1,21000,34000,0.01,10000,300,3333.3333333333,25000000,35000000,7.4,2600,0.5,4,2350,phenanthrene,0.2,co.exp,4,N,community,circulatory,acc1.mrnaexpression,head.kidney.leuk,population,Clear,5,15,N,N,N,commercial,N,N,N,N,N,N,N,-2,0,Y,0.01,Bathygobius krefftii,(Missing)
"Rochman,Jacob",10.1016/j.anbehav.2016.10.035,14,Browne,2010,Caenorhabditis,cavernosa,Annelida,Early,invivo,maternal.transfer,Y,Y,PVC,N,NH2,fiber,4,0.0000963,0.0087,0.04,Lab,Marine,Y,Y,1.1,43000,68000,0.0111,20000,500,40000,25000000,35000000,28,2610,1,10,110000,pyrene,0.252,sorbed,5,Y,fitness,detoxification,ache.activity,heart,subcell,Unclear,6,20,Y,Y,Y,lab,Y,Y,Y,Y,Y,Y,Y,-1.95467702121334,0.0413926851582251,N,0.0111,Brachionus koreanus,Algae
Jacob,10.1016/j.aquaculture.2017.11.005,15,Bruck.Ford,2011,Calanus,chuii,Bacterium,Juveniles,invitro,sediment,N,N,BIO,Y,SO3,fragment,5,0.0001,0.01,0.045,Mesocosm,Terrestrial,N,N,1.4,85000,130000,0.0184,50000,496000,100000000,25000000,35000000,45,5200,5,30,2400000,triclosan,0.32,co.exp,6,N,immune,development,ache.mrnaexpression,hyalinocyte,tissue,Clear,7,24,N,N,N,N,N,N,N,N,N,N,N,-1.73518217699046,0.146128035678238,Y,0.0184,Brachionus plicatilis,Annelida
Koelmans,10.1016/j.aquatox.2011.08.020,16,Canesi,2012,Carassius,clausi,Cnidaria,Adult,invivo,water,Y,Y,EVA,n,COOH,sphere,1,0.000159,0.011,0.05,Field,Freshwater,Y,Y,2.1,170000,270000,0.02,70000,1084000,1000000000,25000000,35000000,60,5220,10,70,9300000,bap,0.4,sorbed,7,Y,metabolism,digestion,acid.phosphatase.activity,jaw,cell,Unclear,10,1,Y,Y,Y,commercial,Y,Y,Y,Y,Y,Y,Y,-1.69897000433602,0.322219294733919,N,0.02,Caenorhabditis elegans,Bacterium
"Koelmans,Jacob",10.1016/j.aquatox.2015.04.018,17,Caniff.Hoang,2013,Carcinus,coerulea,Crustacea,Early,invitro,food,N,N,LTX,N,NH2,cube,2,0.00018,0.01148,0.063,Lab,Marine,N,N,4,340000,540000,0.023,100000,0.0009,0.000012,25000000,35000000,0.005,156700,0.5,0.01,24000000,bpa,0.64,co.exp,8,N,microbiome,digestive.enzymes,aco.mrnaexpression,kidney,organism,Clear,1,2,N,N,N,lab,N,N,N,N,N,N,N,-1.63827216398241,0.602059991327962,Y,0.023,Calanus finmarchicus,Cnidaria
"Koelmans,Rochman",10.1016/j.aquatox.2015.11.011,18,Capolupo,2014,Ceriodaphnia,corneum,Echinoderm,Juveniles,invivo,maternal.transfer,Y,Y,PA,Y,SO3,fiber,3,0.0002,0.012,0.064,Mesocosm,Terrestrial,Y,Y,4.2,680000,1100000,0.025,200000,0.009,0.00002,25000000,35000000,0.02,261200,1,0.1,60000000,cefalexin,1,sorbed,9,Y,stress,digestive.tract.histo,actinobacteria,kidney.neutrophil,population,Unclear,2,3,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,-1.60205999132796,0.6232492903979,N,0.025,Calanus helgolandicus,Crustacea
"Koelmans,Rochman,Jacob",10.1016/j.aquatox.2016.09.015,19,Caruso,2015,Chaetoceros,costatum,Fish,Adult,invitro,sediment,N,N,PC,n,COOH,fragment,4,0.0004,0.014,0.075,Field,Freshwater,N,N,4.3,39000000,25000000000,0.03125,280000,0.099,0.00012,25000000,35000000,0.05,365700,5,0.3,93000000,chromium,1.3,co.exp,10,N,alimentary.excretory,diversity,activity,leaf,subcell,Clear,3,4,N,N,N,commercial,N,N,N,N,N,N,N,-1.50514997831991,0.633468455579587,Y,0.03125,Carassius auratus,Echinoderm
Rochman,10.1016/j.aquatox.2017.11.017,20,Cedervall,2016,Chironomus,crassirostris,Insect,Early,invivo,water,Y,Y,PE,N,NH2,sphere,5,0.0005,0.015,0.1,Lab,Marine,Y,Y,7,78000000,50000000000,0.032,300000,100,0.00035,25000000,35000000,0.074,522400,10,0.4,232500000,copper,1.8,sorbed,11,Y,behavioral.sense.neuro,feeding,activity.during.feeding,liver,tissue,Unclear,4,5,Y,Y,Y,lab,Y,Y,Y,Y,Y,Y,Y,-1.49485002168009,0.845098040014257,N,0.032,Carassius carassius,Fish
"Rochman,Jacob",10.1016/j.aquatox.2017.12.008,21,Chae,2017,Chlamydomas,damicornis,Mollusca,Juveniles,invitro,food,N,N,PET,Y,SO3,cube,1,0.001,0.01798,0.106,Mesocosm,Terrestrial,N,N,7.3,1600000000,100000000000,0.0396,400000,300,3333.3333333333,25000000,35000000,0.2,1044800,0.5,4,94,ee2,2,co.exp,12,N,circulatory.respiratory,firmicutes,agal.consumption,mantle,cell,Clear,5,6,N,N,N,N,N,N,N,N,N,N,N,-1.40230481407449,0.863322860120456,Y,0.0396,Carcinus maenas,Insect
Jacob,10.1016/j.aquatox.2018.03.011,22,Chapron,2018,Chlamydomonas,diversicolor,Nematoda,Adult,invivo,maternal.transfer,Y,Y,PI,n,COOH,fiber,2,0.0016,0.0187,0.138,Field,Freshwater,Y,Y,7.844,3100000000,200000000000,0.04,450000,500,40000,25000000,35000000,0.5,26800000,1,10,940,mercury,2.5,sorbed,14,Y,community,gall.bladder.histo,agression.index,muscle,organism,Unclear,6,7,Y,Y,Y,commercial,Y,Y,Y,Y,Y,Y,Y,-1.39794000867204,0.894537584995746,N,0.04,Ceriodaphnia dubia,Mollusca
Koelmans,10.1016/j.aquatox.2018.04.015,23,Chen,2019,Chlorella,dubia,Plant,Early,invitro,sediment,N,N,PLA,N,NH2,fragment,3,0.002,0.02,0.15,Lab,Marine,N,N,8.4,6200000000,400000000000,0.046,600000,496000,100000000,25000000,35000000,0.74,500,5,30,2350,nickel,3,co.exp,20,N,fitness,gen.metabolism,ahra.mrnaexpression,plasma,population,Clear,7,8,N,N,N,lab,N,N,N,N,N,N,N,-1.33724216831843,0.924279286061882,Y,0.046,Chaetoceros neogracile,Nematoda
"Koelmans,Jacob",10.1016/j.aquatox.2019.105296,24,Choi,2020,Clarias,duebeni,Rotifera,Juveniles,invivo,water,Y,Y,PMMA,Y,SO3,sphere,4,0.0025,0.025,0.18,Mesocosm,Terrestrial,Y,Y,8.6,12000000000,800000000000,0.05,1,1084000,1000000000,25000000,35000000,1,2600,10,70,110000,nonylphenol,3.9,sorbed,21,Y,immune,gill.histo,ahrb.mrnaexpression,root,subcell,Unclear,10,9,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,-1.30102999566398,0.934498451243568,N,0.05,Chironomus riparius,Plant
"Koelmans,Rochman",10.1016/j.cbpc.2019.02.005,25,Cole,2008,Corbicula,edulis,Algae,Adult,invitro,food,N,N,PP,n,COOH,cube,5,0.0026,0.03,0.212,Field,Freshwater,N,N,10,21000,34000,0.055,10,0.0009,0.000012,25000000,35000000,2,2610,0.5,0.01,2400000,paraquat,4,co.exp,24,N,metabolism,gonad.histo,akt.mrnaexpression,serum,tissue,Clear,1,10,N,N,N,commercial,N,N,N,N,N,N,N,-1.25963731050576,1,Y,0.055,Chlamydomas reinhardtii,Rotifera
"Koelmans,Rochman,Jacob",10.1016/j.cbpc.2019.108586,26,Cole.Galloway,2010,Crassostrea,elegans,Annelida,Early,invivo,maternal.transfer,Y,Y,PS,N,NH2,fiber,1,0.003,0.032,0.25,Lab,Marine,Y,Y,11.2,43000,68000,0.0625,25,0.009,0.00002,25000000,35000000,3.8,5200,1,0.1,9300000,pbde47,5,sorbed,28,Y,microbiome,growth,albumin.con,whole.body,cell,Unclear,2,11,Y,Y,Y,lab,Y,Y,Y,Y,Y,Y,Y,-1.20411998265592,1.04921802267018,N,0.0625,Chlamydomonas reinhardtii,(Missing)
Rochman,10.1016/j.chemosphere.2015.03.010,27,Critchell.Hoogenboom,2011,Crepidula,emarginata,Bacterium,Juveniles,invitro,sediment,N,N,PUR,Y,SO3,fragment,2,0.0035,0.038,0.3,Mesocosm,Terrestrial,N,N,12.48,85000,130000,0.08,50,0.099,0.00012,25000000,35000000,5,5220,5,0.3,24000000,pcb,8,co.exp,30,N,stress,immune.cells,albumin.globulin.ratio,blood,organism,Clear,3,12,N,N,N,N,N,N,N,N,N,N,N,-1.09691001300806,1.09621458534641,Y,0.08,Chlorella NA,Algae
"Rochman,Jacob",10.1016/j.chemosphere.2016.02.133,28,Cui,2012,Cyanobacteria,faveolata,Cnidaria,Adult,invivo,water,Y,Y,PVC,n,COOH,sphere,3,0.004,0.04,0.31,Field,Freshwater,Y,Y,14,170000,270000,0.083,62.5,100,0.00035,25000000,35000000,7,156700,10,0.4,60000000,phenanthrene,10,sorbed,31,Y,alimentary.excretory,immune.other,algal.density,brain,population,Unclear,4,15,Y,Y,Y,commercial,Y,Y,Y,Y,Y,Y,Y,-1.08092190762393,1.14612803567824,N,0.083,Chlorella pyrenoidosa,Annelida
Jacob,10.1016/j.chemosphere.2018.05.170,29,Davarpahah.Guilhermino,2013,Cyprinodon,finmarchicus,Crustacea,Early,invitro,food,N,N,BIO,N,NH2,cube,4,0.005,0.062,0.3107,Lab,Marine,N,N,16,340000,540000,0.092,125,300,3333.3333333333,25000000,35000000,7.4,261200,0.5,4,93000000,pyrene,18.9,co.exp,35,N,behavioral.sense.neuro,intestinal.permeability,alkaline.phosphatase.activity,coelomocytes,subcell,Clear,5,20,N,N,N,lab,N,N,N,N,N,N,N,-1.03621217265444,1.20411998265592,Y,0.092,Chlorella vulgaris,Bacterium
Koelmans,10.1016/j.chemosphere.2018.05.172,30,DellaTorre,2014,Cyprinus,flos-aquae,Echinoderm,Juveniles,invivo,maternal.transfer,Y,Y,EVA,Y,SO3,fiber,5,0.006,0.063,0.316,Mesocosm,Terrestrial,Y,Y,17,680000,1100000,0.1,250,500,40000,25000000,35000000,28,365700,1,10,232500000,triclosan,28.4,sorbed,36,Y,circulatory.respiratory,kidney.histo,alp.activity,digestive.tract,tissue,Unclear,6,24,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,-1,1.23044892137827,N,0.1,Clarias gariepinus,Cnidaria
"Koelmans,Jacob",10.1016/j.chemosphere.2018.09.031,31,deSa,2015,Danio,fluminea,Fish,Adult,invitro,sediment,N,N,LTX,n,COOH,fragment,1,0.008,0.065,0.35,Field,Freshwater,N,N,20,39000000,25000000000,0.125,500,496000,100000000,25000000,35000000,45,522400,5,30,94,bap,0.0002,co.exp,39,N,community,lipid.metabolism,alp.con,embryo,cell,Clear,7,1,N,N,N,commercial,N,N,N,N,N,N,N,-0.903089986991944,1.30102999566398,Y,0.125,Corbicula fluminea,Crustacea
